neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,beds,bath
West Town,41.89313,-87.66265,Entire home/apt,173,2,9,0.15,2,0,0,4.67,2,2,1
Lake View,41.94950970781963,-87.64482344421967,Private room,84,1,99,1.74,1,16,25,4.91,1,1,1
Near West Side,41.88236,-87.64144,Entire home/apt,86,32,0,,1,0,0,0,1,1,1
Avondale,41.93927,-87.71772,Entire home/apt,100,32,12,0.29,4,309,3,4.83,1,2,1
Near North Side,41.90707,-87.6272,Entire home/apt,55,32,7,0.13,1,0,0,5.0,2,1,1
West Town,41.89965,-87.69018,Entire home/apt,152,2,14,0.59,1,14,8,5.0,1,1,1
Near North Side,41.89236,-87.62221,Entire home/apt,105,1,12,0.25,1,0,0,4.50,1,1,1
Woodlawn,41.77642,-87.59981,Entire home/apt,349,2,38,0.7,1,338,6,4.79,3,5,2.5
West Town,41.89469,-87.66116,Entire home/apt,215,2,21,0.4,1,0,3,5.0,2,2,1
Hyde Park,41.80113,-87.60519,Private room,95,32,45,0.8,1,0,0,4.89,1,1,1
Lincoln Square,41.97328,-87.69466,Entire home/apt,143,1,273,4.8,1,151,55,4.96,2,2,1
West Town,41.89467,-87.68899,Entire home/apt,80,3,4,0.07,1,0,0,5.0,0,2,1
Near North Side,41.8964,-87.62515,Entire home/apt,83,32,9,0.16,1,0,0,4.56,1,1,1
Near North Side,41.89574,-87.63563,Entire home/apt,150,32,1,0.02,1,0,0,0,0,1,1
West Town,41.89497,-87.65687,Entire home/apt,1352,1,4,0.07,18,365,0,4.75,0,2,1
Uptown,41.96871,-87.6574,Entire home/apt,122,2,236,4.22,1,58,42,4.97,1,2,1
West Town,41.90881,-87.67062,Entire home/apt,85,32,4,0.3,2,54,3,4.50,1,2,1
Lake View,41.94916,-87.66881,Entire home/apt,250,7,44,0.79,1,256,9,4.98,2,2,2
Uptown,41.96231842041016,-87.66576385498047,Entire home/apt,127,1,163,2.87,3,336,41,4.93,3,3,2
Belmont Cragin,41.93603,-87.78646,Entire home/apt,100,60,4,0.08,2,296,0,4.75,1,1,1
West Town,41.90556,-87.69021,Entire home/apt,120,2,0,,1,0,0,0,3,3,1
Lincoln Park,41.92873,-87.63965,Entire home/apt,122,32,257,4.5,14,47,41,4.46,1,1,1
Uptown,41.96231842041016,-87.66576385498047,Entire home/apt,380,1,10,0.19,3,335,1,4.90,6,6,4
Lake View,41.93448,-87.65906,Entire home/apt,391,3,90,1.57,2,302,22,4.93,3,4,2
West Town,41.89925,-87.68333,Entire home/apt,136,2,173,4.66,1,206,52,4.99,1,1,1
Irving Park,41.95757,-87.72495,Entire home/apt,110,32,96,1.79,1,45,1,4.80,2,2,1
West Town,41.89659,-87.6563,Entire home/apt,1222,1,21,0.38,18,365,0,4.38,0,2,1
Near North Side,41.89598,-87.632,Entire home/apt,159,32,3,0.07,16,330,1,5.0,1,2,1
Near North Side,41.8923,-87.62734,Hotel room,159,1,72,1.32,23,365,9,4.61,1,1,1
Lower West Side,41.85222,-87.6693,Entire home/apt,125,32,1,0.02,1,0,0,0,0,1,2
Lower West Side,41.85103,-87.68133,Entire home/apt,114,32,14,0.26,34,319,3,4.93,2,2,1
North Park,41.98235,-87.71224,Entire home/apt,65,32,86,1.49,1,133,3,4.90,2,2,1
Logan Square,41.91504,-87.7179,Private room,170,32,9,0.16,1,88,0,4.22,1,1,1
Austin,41.88299,-87.77116,Entire home/apt,99,5,55,1.07,6,130,19,4.44,3,3,1
Near North Side,41.8923,-87.62734,Hotel room,159,1,3194,57.14,23,365,885,4.51,1,1,1
West Town,41.89649,-87.65627,Entire home/apt,1010,1,7,0.12,18,365,0,4.29,0,1,1
Lake View,41.94477,-87.64486,Entire home/apt,100,32,32,0.57,1,0,0,4.88,1,1,1.5
West Town,41.90736,-87.68954,Entire home/apt,159,2,332,5.8,4,125,71,4.86,0,1,1
West Town,41.89667,-87.65508,Entire home/apt,1010,1,3,0.06,18,365,0,5.0,0,1,1
Avondale,41.9342,-87.69292,Entire home/apt,170,2,129,2.26,2,155,15,4.83,2,2,1
Grand Boulevard,41.82298,-87.61569,Entire home/apt,45,32,17,0.3,1,81,0,4.59,1,2,1
Jefferson Park,41.98298,-87.77786,Entire home/apt,129,2,119,2.08,1,185,23,4.97,1,1,1
North Center,41.939495654653534,-87.6875326993209,Entire home/apt,266,1,41,0.8,1,28,8,5.0,3,3,1
Logan Square,41.91764,-87.69943,Entire home/apt,129,2,88,1.57,1,59,15,4.80,2,2,2
Near North Side,41.909633,-87.634233,Entire home/apt,154,1,213,3.82,1,339,47,4.91,2,3,2
Lincoln Park,41.92757,-87.66244,Entire home/apt,138,2,27,0.48,5,0,0,4.59,1,4,1
Lincoln Park,41.92904,-87.66278,Entire home/apt,206,2,20,0.36,5,85,3,4.60,1,4,1
West Town,41.89642,-87.65478,Entire home/apt,1010,1,1,0.02,18,365,0,0,0,1,1
Portage Park,41.93881,-87.75719,Private room,102,32,1,0.1,18,347,1,0,1,2,1
West Town,41.90901,-87.67804,Entire home/apt,130,2,81,1.43,1,64,27,4.69,0,3,1
Near West Side,41.88048,-87.68637,Private room,87,32,11,0.22,9,296,3,4.73,1,1,1
Near West Side,41.8801,-87.6869,Private room,75,32,13,0.26,9,304,3,4.85,1,1,1
West Town,41.9051,-87.66857,Private room,151,3,27,0.47,1,181,0,4.96,1,1,1
Lincoln Park,41.91789,-87.64532,Entire home/apt,259,2,249,4.38,1,24,67,4.99,2,2,1
West Town,41.89463,-87.65636,Entire home/apt,1010,1,8,0.14,18,365,0,4.25,0,1,1
Edgewater,41.98968,-87.66152,Entire home/apt,100,32,34,0.6,12,108,4,4.82,1,1,1
Lower West Side,41.85697,-87.6423,Entire home/apt,80,32,138,2.41,3,0,0,4.72,1,1,1
West Town,41.8946,-87.65474,Entire home/apt,1010,1,3,0.06,18,365,0,4.67,0,1,1
Portage Park,41.94011,-87.75711,Private room,77,2,8,0.66,18,363,8,4.75,1,1,1
West Town,41.89599,-87.65463,Entire home/apt,1010,1,2,0.04,18,365,0,0,0,1,1
Portage Park,41.93912,-87.75509,Private room,96,32,8,0.17,18,330,1,4.88,1,1,1
West Town,41.8964,-87.65535,Entire home/apt,1010,1,9,0.16,18,365,0,4.56,0,1,1
Belmont Cragin,41.9383,-87.75677,Private room,99,32,21,0.37,18,328,0,5.0,1,2,1
West Town,41.89458,-87.65467,Entire home/apt,1010,1,1,0.02,18,365,0,0,0,1,1
West Town,41.89675,-87.65521,Entire home/apt,1010,1,4,0.07,18,365,0,4.75,0,1,1
Portage Park,41.9388,-87.75524,Entire home/apt,200,32,0,,18,346,0,0,2,3,1
West Town,41.89603,-87.6566,Entire home/apt,1429,1,3,0.06,18,365,0,5.0,0,1,1
Uptown,41.97397,-87.67147,Entire home/apt,180,32,223,4.01,1,160,51,4.96,2,2,1
West Town,41.89634,-87.65513,Entire home/apt,1429,1,1,0.02,18,365,0,0,0,1,1
West Town,41.89472,-87.6551,Entire home/apt,1429,1,2,0.04,18,365,0,0,0,1,1
Lincoln Park,41.92855,-87.64495,Entire home/apt,193,5,26,0.46,7,35,11,4.85,3,3,2
West Town,41.89656,-87.65613,Entire home/apt,1429,1,0,,18,365,0,0,0,1,1
Near West Side,41.86068,-87.64783,Entire home/apt,75,32,10,0.18,1,0,0,4.50,1,1,2
East Garfield Park,41.87308,-87.71586,Entire home/apt,184,2,6,0.73,1,67,6,5.0,4,4,1
Near North Side,41.8923,-87.627335,Hotel room,42,1,71,1.29,23,364,1,4.46,1,1,1
Lake View,41.95073,-87.6594,Entire home/apt,300,2,156,2.91,1,321,49,4.74,3,3,1
West Town,41.9038,-87.67553,Entire home/apt,1800,4,6,0.12,1,231,2,5.0,5,8,3.5
Norwood Park,41.98606,-87.77856,Private room,85,1,103,1.89,1,85,21,4.88,1,1,1
Grand Boulevard,41.81118,-87.61185,Entire home/apt,267,2,42,0.84,2,270,6,4.71,3,5,1
Near North Side,41.8923,-87.62734,Hotel room,159,1,24,0.58,23,365,5,4.42,1,1,1
Near North Side,41.8923,-87.627335,Hotel room,42,1,1335,26.95,23,364,446,4.55,1,1,1
West Town,41.91218,-87.68174,Entire home/apt,168,2,183,7.99,1,78,80,4.99,1,2,1
Uptown,41.96724,-87.65115,Entire home/apt,225,2,279,5.0,1,324,52,4.97,2,3,1
Bridgeport,41.83302,-87.64656,Entire home/apt,118,4,156,3.0,1,62,36,4.97,0,2,1
Lower West Side,41.85484,-87.6588,Entire home/apt,87,3,52,0.94,1,9,7,4.88,2,2,1
Logan Square,41.92003,-87.70175,Private room,70,1,33,2.74,1,52,33,4.55,1,1,1
Jefferson Park,41.97052,-87.75786,Entire home/apt,175,3,134,2.76,1,179,29,4.97,3,3,2
Lake View,41.93642,-87.64437,Entire home/apt,81,1,234,4.25,9,156,55,4.57,0,1,1
Grand Boulevard,41.81781,-87.61329,Entire home/apt,144,3,126,2.29,4,151,20,4.81,2,2,1
Albany Park,41.96718,-87.70666,Entire home/apt,128,5,74,1.31,1,85,8,4.96,2,3,1
Lincoln Park,41.92815,-87.66478,Entire home/apt,263,2,63,1.14,5,262,14,4.63,1,5,1.5
Lincoln Park,41.92782,-87.66459,Entire home/apt,263,2,48,0.86,5,251,15,4.60,1,4,1.5
Near North Side,41.90346,-87.64723,Entire home/apt,100,32,0,,1,0,0,0,1,1,1
Avondale,41.93472,-87.71325,Private room,80,32,5,0.09,1,0,0,5.0,1,1,1
Logan Square,41.92409,-87.68815,Entire home/apt,157,2,90,1.68,1,119,16,4.92,2,3,1
Lake View,41.93812,-87.67068,Entire home/apt,112,2,194,3.41,1,240,43,4.85,2,3,1
Armour Square,41.85589,-87.63324,Entire home/apt,208,2,138,2.48,5,338,33,4.83,2,4,1
Woodlawn,41.78091,-87.61007,Entire home/apt,162,3,68,1.22,1,91,15,4.94,3,4,1
Lincoln Square,41.96746,-87.68515,Entire home/apt,360,3,107,1.94,2,137,35,4.91,3,3,2
Near South Side,41.86647,-87.62037,Entire home/apt,310,32,0,,1,310,0,0,1,1,1
Irving Park,41.9594,-87.70304,Entire home/apt,189,40,0,,1,0,0,0,0,1,1
Near North Side,41.90722,-87.6348,Entire home/apt,166,32,200,3.68,14,66,36,4.61,1,1,1
Irving Park,41.95646286010742,-87.72673797607422,Private room,60,7,29,0.51,2,154,2,4.90,1,2,1
West Town,41.89711,-87.69129,Entire home/apt,650,2,12,0.21,5,0,0,4.83,6,6,3
Near North Side,41.898904,-87.62797,Entire home/apt,259,32,1,0.03,655,216,0,0,1,1,1
West Town,41.89892,-87.68935,Entire home/apt,113,2,227,4.12,5,124,45,4.63,2,2,1
Brighton Park,41.80848,-87.71082,Entire home/apt,77,2,192,3.44,2,331,51,4.79,1,2,1
Lower West Side,41.84952,-87.68379,Private room,45,2,179,3.25,4,0,12,4.72,1,1,2
Kenwood,41.80458,-87.59182,Entire home/apt,200,32,1,0.02,1,0,0,0,3,3,2
Rogers Park,42.01203,-87.66995,Entire home/apt,55,32,1,0.02,1,0,0,0,1,1,1
Near North Side,41.89601,-87.62627,Entire home/apt,199,32,6,0.12,1,0,2,5.0,1,1,1
Logan Square,41.92059,-87.72375,Entire home/apt,86,32,236,4.29,3,67,81,4.81,3,3,1
Near South Side,41.86302,-87.62382,Entire home/apt,68,179,0,,1,336,0,0,1,1,1
West Town,41.90594,-87.67039,Entire home/apt,628,2,9,0.16,1,246,4,5.0,2,3,2
Lake View,41.94868,-87.65625,Entire home/apt,366,1,138,2.5,1,136,44,4.72,3,4,1
North Lawndale,41.86149,-87.71599,Entire home/apt,285,3,121,2.4,2,348,24,4.50,4,4,1
Bridgeport,41.84547,-87.64532,Entire home/apt,238,2,140,2.5,5,327,33,4.81,3,5,2
Logan Square,41.91997,-87.69397,Entire home/apt,108,2,84,1.51,1,6,3,4.83,1,1,1
Near North Side,41.88893,-87.63022,Private room,121,1,332,5.97,8,248,79,4.86,1,2,1
Jefferson Park,41.97932,-87.77409,Entire home/apt,76,1,167,3.02,1,31,39,4.93,0,2,1
Lower West Side,41.84952,-87.68379,Private room,49,2,153,2.78,4,0,12,4.75,1,1,2
Greater Grand Crossing,41.76879,-87.61566,Entire home/apt,80,32,9,0.18,1,88,0,5.0,1,1,1
North Center,41.94708,-87.67556,Entire home/apt,157,32,54,1.04,1,0,0,4.74,3,5,1
Lower West Side,41.84952,-87.68379,Private room,41,2,191,3.46,4,0,8,4.68,1,1,2
Lincoln Park,41.92905,-87.66831,Private room,79,1,68,1.27,1,347,15,4.65,1,1,1
Lower West Side,41.84952,-87.68379,Private room,45,2,155,2.82,4,0,6,4.60,1,1,2
Logan Square,41.91639,-87.68823,Entire home/apt,66,32,167,3.03,2,94,6,4.80,2,2,1
West Ridge,42.01181,-87.68867,Entire home/apt,193,2,19,0.38,1,348,9,4.89,2,3,1
Edgewater,41.98811,-87.66516,Entire home/apt,149,32,54,0.98,1,0,0,5.0,3,3,1
Logan Square,41.91815,-87.70828,Entire home/apt,160,32,42,0.77,1,0,0,4.95,2,2,1
Irving Park,41.94827,-87.71429,Entire home/apt,175,4,60,1.1,2,304,16,4.80,2,4,1
Logan Square,41.92063,-87.6823,Entire home/apt,350,3,1,0.06,1,0,0,0,4,3,3.5
West Town,41.89769,-87.66868,Entire home/apt,203,2,301,5.74,1,153,81,4.94,2,2,1
Near West Side,41.877445,-87.665092,Entire home/apt,91,3,185,3.4,1,47,39,4.86,1,1,1
Irving Park,41.95771,-87.71634,Private room,70,1,79,1.55,3,339,30,4.87,1,1,1
North Center,41.9591,-87.6759,Entire home/apt,157,3,59,3.24,1,53,36,4.92,2,2,1
Near North Side,41.8923,-87.627335,Hotel room,42,1,42,0.85,23,364,2,4.60,1,1,1
Lake View,41.95042,-87.65981,Entire home/apt,364,32,3,0.07,2,299,0,5.0,4,5,2
Portage Park,41.95619,-87.77117,Entire home/apt,111,1,301,5.44,1,271,58,4.93,2,2,1
Lower West Side,41.85548,-87.67985,Entire home/apt,124,2,238,4.63,1,105,43,4.84,3,4,2
Albany Park,41.9685,-87.72142,Private room,43,32,18,0.4,6,166,1,4.28,1,1,1
Lake View,41.93924,-87.64225,Entire home/apt,719,2,151,3.44,5,250,46,4.91,4,10,2
Logan Square,41.9221,-87.686065,Entire home/apt,93,1,203,3.97,1,352,47,4.90,1,2,1
Logan Square,41.91771,-87.71367,Entire home/apt,1885,3,47,0.97,3,145,19,5.0,8,12,5.5
East Garfield Park,41.87717,-87.70436,Private room,70,32,2,0.04,33,168,0,0,2,2,2
Lake View,41.94193,-87.66657,Entire home/apt,65,32,3,0.06,1,0,0,5.0,2,4,2
South Lawndale,41.85309,-87.69624,Entire home/apt,76,32,45,0.95,2,302,5,4.58,1,3,1
South Shore,41.76103,-87.5889,Private room,55,32,34,0.64,2,365,2,4.68,1,1,1
Lake View,41.94806,-87.66171,Entire home/apt,127,3,101,1.95,6,207,34,4.77,1,1,1
Bridgeport,41.8378,-87.65684,Entire home/apt,118,2,223,4.05,2,336,65,4.67,0,1,1
Logan Square,41.92358,-87.72433,Entire home/apt,153,2,71,1.38,1,317,15,4.86,1,2,1
West Garfield Park,41.88594,-87.72223,Entire home/apt,143,1,114,2.28,1,141,22,4.46,4,5,1
Beverly,41.71313,-87.66182,Entire home/apt,104,2,148,2.72,1,64,36,4.93,1,3,1
Douglas,41.83406,-87.61045,Entire home/apt,97,3,66,1.3,1,221,21,4.32,2,2,1
Humboldt Park,41.9073,-87.71118,Entire home/apt,72,3,0,,2,6,0,0,2,4,1
West Town,41.90993,-87.67017,Entire home/apt,56,1,51,0.94,16,0,8,4.84,3,4,1
Lower West Side,41.854916427665145,-87.65207787308223,Entire home/apt,128,2,250,4.66,3,269,56,4.95,2,2,1
Portage Park,41.94184,-87.76282,Entire home/apt,101,2,143,2.6,1,94,35,4.99,2,3,1
Near West Side,41.877858,-87.679355,Entire home/apt,119,1,143,2.76,4,326,29,4.77,3,4,2
Loop,41.88771,-87.61852,Entire home/apt,175,32,1,0.02,16,291,0,0,1,1,1
West Town,41.89466,-87.65533,Entire home/apt,1653,1,2,0.04,18,365,0,0,0,2,1
West Town,41.89458,-87.65549,Entire home/apt,1653,1,3,0.06,18,365,0,4.0,0,2,1
Logan Square,41.924163,-87.704342,Entire home/apt,108,1,150,2.95,1,352,27,4.56,3,3,1
Edgewater,41.98517,-87.66792,Entire home/apt,354,2,82,1.54,1,114,20,4.98,3,3,2
Lake View,41.95708,-87.67162,Entire home/apt,161,1,282,5.41,1,188,71,4.97,3,3,1
Near North Side,41.90104,-87.6336,Private room,287,2,12,0.55,3,289,7,4.83,2,4,2
West Town,41.89628,-87.65686,Entire home/apt,1248,1,1,0.02,18,365,0,0,0,1,1
Near West Side,41.86472,-87.64595,Entire home/apt,109,32,96,1.8,2,133,0,4.84,1,1,1
Grand Boulevard,41.8218,-87.60995,Entire home/apt,242,1,6,0.71,1,355,6,4.83,3,3,2.5
West Garfield Park,41.86979,-87.72272,Entire home/apt,130,2,22,5.84,1,142,22,4.95,4,4,1
Bridgeport,41.84352,-87.63915,Entire home/apt,119,32,83,1.65,2,348,19,4.46,3,3,1
West Lawn,41.78118,-87.73739,Entire home/apt,54,32,78,1.61,1,0,0,4.94,0,2,1
West Town,41.9137,-87.68238,Entire home/apt,147,32,3,0.06,1,0,0,4.67,1,1,1
Edgewater,41.98628,-87.65477,Entire home/apt,130,3,95,1.74,1,321,30,4.77,1,1,1
Rogers Park,42.01957,-87.66426,Entire home/apt,310,32,71,1.39,4,312,3,4.92,2,2,2
West Town,41.90961,-87.66808,Private room,22,1,150,2.74,16,0,23,4.78,1,1,1
West Town,41.91126,-87.66975,Private room,22,1,156,2.85,16,0,21,4.85,1,1,1
West Town,41.91001,-87.67,Private room,22,1,162,2.95,16,0,14,4.79,1,1,1
North Center,41.9425,-87.67816,Entire home/apt,146,32,179,3.28,4,208,3,4.92,3,3,1
North Center,41.943,-87.67774,Entire home/apt,450,5,3,0.06,1,39,0,5.0,1,1,1
West Town,41.9084,-87.68364,Entire home/apt,239,3,77,1.53,1,57,26,4.95,5,3,1
Near North Side,41.89438,-87.62434,Private room,196,1,51,0.97,2,69,20,4.73,1,1,1
Austin,41.88787,-87.76898,Private room,60,32,88,1.69,3,175,5,4.95,2,2,1.5
Rogers Park,42.0122,-87.66552,Entire home/apt,210,60,0,,2,365,0,0,1,1,1
Rogers Park,42.01579,-87.66546,Entire home/apt,643,1,34,0.71,2,12,14,5.0,3,3,2.5
Albany Park,41.96143,-87.72214,Private room,95,2,65,1.28,1,275,22,4.88,1,1,1
Rogers Park,42.01651,-87.66575,Entire home/apt,1200,1,44,0.93,2,19,11,4.98,7,10,7
West Town,41.90300750732422,-87.67169952392578,Hotel room,289,1,26,0.55,10,98,14,4.65,0,1,1
West Town,41.90300750732422,-87.67169952392578,Hotel room,289,1,33,0.63,10,98,10,4.79,0,1,1
Garfield Ridge,41.7942,-87.79218,Entire home/apt,114,1,53,1.05,1,105,17,4.87,3,3,1
Near North Side,41.88936,-87.63025,Private room,129,1,353,6.78,8,234,72,4.91,1,2,1
West Town,41.90300750732422,-87.67169952392578,Hotel room,289,1,6,0.17,10,99,5,3.67,0,1,1
North Center,41.960881,-87.677896,Entire home/apt,89,1,189,3.65,2,346,42,4.88,2,3,1
Armour Square,41.85715,-87.6338,Entire home/apt,299,2,77,1.51,16,203,19,4.87,3,6,2
Armour Square,41.85669,-87.63226,Entire home/apt,299,2,102,2.03,16,224,17,4.94,3,4,2
West Town,41.90300750732422,-87.67169952392578,Hotel room,289,1,9,0.27,10,101,7,4.56,0,1,1
Near South Side,41.85797,-87.63388,Entire home/apt,299,2,108,2.15,16,208,26,4.86,3,6,2
Humboldt Park,41.89018,-87.70888,Entire home/apt,115,2,82,1.56,2,130,10,4.83,2,2,1
West Town,41.91383,-87.70173,Entire home/apt,79,32,2,0.04,1,0,0,0,2,2,1
West Town,41.90300750732422,-87.67169952392578,Hotel room,235,1,20,0.37,10,96,11,4.65,0,1,1
West Town,41.90300750732422,-87.67169952392578,Hotel room,239,1,66,1.66,10,99,27,4.82,0,1,1
Irving Park,41.94872,-87.71656,Private room,61,14,46,0.88,1,62,4,4.93,1,1,1
Lower West Side,41.85754,-87.66587,Entire home/apt,131,2,120,2.39,4,38,34,4.69,3,3,1
West Town,41.90300750732422,-87.67169952392578,Hotel room,272,1,77,1.56,10,98,14,4.73,0,1,1
Lower West Side,41.85694,-87.67701,Entire home/apt,137,2,161,3.17,2,68,16,4.89,2,2,1
Lake View,41.94726,-87.66039,Entire home/apt,333,2,32,0.63,4,84,14,4.97,2,3,2
West Town,41.90300750732422,-87.67169952392578,Hotel room,275,1,76,1.4,10,95,29,4.51,0,1,1
Lake View,41.94994,-87.66023,Entire home/apt,857,2,71,1.37,2,301,29,4.81,10,15,5
Avondale,41.94124398150169,-87.71544332615052,Entire home/apt,117,2,96,1.82,1,68,28,4.80,1,2,1
South Shore,41.76447,-87.57348,Private room,40,1,26,0.52,8,331,6,4.62,1,5,1
Portage Park,41.95784,-87.74516,Entire home/apt,86,2,187,3.46,2,176,35,4.57,2,5,1
Armour Square,41.85347767654599,-87.63321333299847,Entire home/apt,399,2,68,1.43,16,205,21,4.78,4,9,2
West Town,41.89761,-87.69099,Entire home/apt,94,2,139,2.63,5,124,19,4.56,2,2,1
Austin,41.88397,-87.76567,Private room,76,3,33,0.64,6,359,5,4.76,5,1,3
Lincoln Park,41.92896,-87.64116,Entire home/apt,150,32,0,,1,0,0,0,2,3,2
Calumet Heights,41.72798,-87.57824,Shared room,29,2,49,0.97,23,54,10,4.69,1,1,4
Englewood,41.78977,-87.63453,Private room,33,32,48,0.88,7,90,11,4.48,1,3,1
Logan Square,41.916428,-87.692576,Entire home/apt,165,1,138,2.62,2,342,28,4.69,4,5,2
Lake View,41.94685,-87.64711,Entire home/apt,90,32,6,0.11,1,0,0,5.0,1,1,1
North Park,41.98448,-87.73079,Entire home/apt,105,2,179,3.28,1,39,42,4.82,2,2,1
Albany Park,41.96303,-87.70722,Entire home/apt,194,2,126,2.41,1,42,26,4.89,2,2,1
Avondale,41.93387,-87.7191,Entire home/apt,100,32,13,0.32,3,315,3,5.0,2,2,1
Armour Square,41.84599,-87.63497,Entire home/apt,376,2,63,1.25,16,243,17,4.89,4,7,1.5
Pullman,41.72055,-87.59305,Entire home/apt,272,2,113,2.23,1,357,23,4.84,3,3,2
West Town,41.91112,-87.67027,Private room,22,1,14,0.48,16,0,13,4.79,1,1,1
Montclare,41.9318,-87.79291,Private room,126,3,44,0.92,2,168,12,4.98,1,1,1
Near West Side,41.8824,-87.68145,Entire home/apt,129,1,120,2.7,2,162,32,4.62,0,1,1
Near West Side,41.86644,-87.65344,Private room,110,2,79,1.57,4,324,27,4.80,1,4,1
West Town,41.90866,-87.679,Entire home/apt,407,3,10,0.19,1,268,5,5.0,3,3,2
Near West Side,41.86683,-87.65402,Entire home/apt,499,2,27,0.54,4,279,4,4.81,3,7,2
West Town,41.897764,-87.655612,Entire home/apt,109,1,160,2.99,1,329,37,4.73,3,4,2
West Town,41.90231,-87.67174,Entire home/apt,123,32,77,1.52,7,365,1,4.34,1,1,1
Lake View,41.95394,-87.66738,Entire home/apt,473,2,93,1.75,15,147,14,4.78,4,5,1
North Center,41.93726,-87.67514,Private room,150,1,15,0.3,2,50,4,4.93,1,1,1.5
Near West Side,41.87979,-87.68372,Entire home/apt,368,2,27,0.53,1,355,3,4.74,4,4,2.5
Edison Park,42.00714,-87.82048,Private room,64,30,4,0.08,1,309,0,5.0,1,1,1
Humboldt Park,41.91364,-87.70786,Entire home/apt,500,2,56,1.07,1,275,13,4.88,3,4,2.5
Near West Side,41.86011,-87.66088,Entire home/apt,90,180,0,,1,365,0,0,1,1,1
Humboldt Park,41.89205,-87.70929,Entire home/apt,102,2,77,1.47,2,125,16,4.77,2,3,1
Near North Side,41.90199,-87.63148,Entire home/apt,108,1,315,6.0,6,281,69,4.90,1,1,1
Logan Square,41.92067,-87.71228,Entire home/apt,211,2,90,1.74,5,70,22,4.89,3,3,1
Avondale,41.93253,-87.72369,Entire home/apt,84,32,23,0.44,1,0,0,4.87,2,2,1
Austin,41.91525,-87.79559,Entire home/apt,60,32,13,0.25,1,303,0,4.75,1,1,1
Calumet Heights,41.7297,-87.57875,Shared room,82,2,34,0.63,23,0,10,4.62,1,1,4
Edgewater,41.98377,-87.67126,Entire home/apt,215,4,88,1.71,1,206,28,4.95,2,3,1
Roseland,41.70887,-87.61603,Entire home/apt,104,2,47,0.98,1,0,16,4.77,2,3,1
Lincoln Park,41.92712,-87.66859,Entire home/apt,190,2,75,1.51,1,340,18,4.88,3,5,1
West Ridge,41.99867,-87.6964,Entire home/apt,107,2,203,3.85,1,317,47,4.67,3,3,1
West Town,41.90018,-87.6664,Entire home/apt,168,32,1,0.02,1,0,0,0,1,2,1
Logan Square,41.92572,-87.67827,Entire home/apt,191,1,208,4.14,1,133,41,4.62,3,3,2.5
Avondale,41.93838,-87.71931,Entire home/apt,239,3,126,2.41,3,326,26,4.77,4,6,2
West Town,41.90085,-87.67306,Entire home/apt,218,2,68,1.26,1,204,9,4.99,3,3,1
West Town,41.89746,-87.65394,Private room,58,2,121,2.35,13,2,9,4.89,1,1,2
Calumet Heights,41.728,-87.57715,Shared room,26,2,19,0.49,23,36,4,4.63,1,1,3
West Town,41.89915,-87.66739,Entire home/apt,85,32,15,0.3,2,0,0,4.50,2,2,2
Near North Side,41.898904,-87.62797,Entire home/apt,159,32,1,0.07,655,320,0,0,1,1,1
Near North Side,41.90583,-87.63012,Entire home/apt,150,180,1,0.02,1,0,0,0,1,1,1
North Lawndale,41.86629,-87.7168,Entire home/apt,350,2,18,0.33,2,177,6,4.17,3,3,2
West Town,41.89581,-87.65554,Private room,58,2,107,2.04,13,2,4,4.89,1,1,2
West Town,41.89568,-87.6561,Private room,58,2,130,2.52,13,2,10,4.88,1,1,2
West Town,41.89553,-87.65388,Entire home/apt,190,2,68,1.31,13,43,18,4.84,3,4,2
East Garfield Park,41.88409,-87.70338,Entire home/apt,182,10,33,0.7,1,0,2,4.97,2,2,1
North Lawndale,41.85596,-87.70748,Entire home/apt,250,1,90,1.73,3,89,11,4.76,1,2,1
Lower West Side,41.85694,-87.67701,Entire home/apt,132,2,226,4.41,2,68,46,4.94,2,2,1
Near West Side,41.87798,-87.65929,Entire home/apt,218,2,102,1.97,3,128,37,4.98,2,3,2
Lincoln Park,41.9144,-87.6463,Entire home/apt,2599,3,18,0.39,2,313,8,5.0,6,7,4.5
Logan Square,41.9302,-87.69725,Entire home/apt,123,2,132,2.63,1,72,33,4.98,1,1,1
Armour Square,41.84572,-87.63329,Entire home/apt,404,2,52,1.23,16,198,15,4.88,5,10,2
Armour Square,41.84564,-87.63477,Entire home/apt,404,2,43,0.98,16,206,16,4.86,4,9,4
Armour Square,41.84589,-87.63485,Entire home/apt,404,2,50,1.53,16,159,19,4.66,4,7,4
Austin,41.88356,-87.76541,Private room,68,5,37,0.7,6,352,7,4.81,1,1,3
Lake View,41.94115,-87.65076,Private room,275,3,16,0.34,1,358,5,4.81,2,3,1
Edgewater,41.97675323486328,-87.66390991210938,Entire home/apt,152,1,128,2.55,1,316,34,4.90,4,4,2
Near North Side,41.89096,-87.6186,Entire home/apt,699,70,1,0.02,13,352,0,0,3,4,2
Loop,41.88531,-87.62526,Entire home/apt,260,4,119,2.31,5,69,18,4.82,0,1,1
Logan Square,41.91786,-87.69892,Entire home/apt,193,2,82,1.58,1,303,8,4.57,3,3,1
Lincoln Park,41.91294,-87.63611,Entire home/apt,400,32,0,,4,337,0,0,2,2,1
