neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,beds,bath
Bridgeport,41.82712,-87.64046,Entire home/apt,130,32,50,0.36,2,0,0,4.84,3,3,1.5
Uptown,41.97271,-87.65236,Entire home/apt,108,32,79,0.64,1,299,18,4.67,0,1,1
Irving Park,41.95965,-87.72016,Entire home/apt,69,32,46,0.43,1,142,3,4.78,1,1,1
Bridgeport,41.82741,-87.63934,Entire home/apt,146,32,39,0.37,2,0,0,4.74,2,3,1.5
West Ridge,41.99595,-87.67545,Entire home/apt,65,32,5,0.09,1,198,0,4.40,1,2,1
Lincoln Park,41.92655,-87.64226,Entire home/apt,118,2,664,5.48,4,16,58,4.76,1,1,1
Kenwood,41.80774,-87.59459,Private room,102,2,275,2.01,1,274,19,4.96,1,1,1
Hyde Park,41.80241,-87.58825,Entire home/apt,449,7,9,0.07,2,332,0,5.0,4,4,2
Near West Side,41.87033,-87.6826,Entire home/apt,132,1,349,2.85,1,348,19,4.92,3,4,1
Lake View,41.94107,-87.65492,Entire home/apt,250,3,691,5.03,1,254,65,4.90,2,2,2
West Town,41.90914,-87.67859,Entire home/apt,138,32,209,1.71,2,251,11,4.89,2,2,1
Near North Side,41.88853,-87.63399,Entire home/apt,170,90,14,0.13,74,348,0,4.92,0,1,1
West Town,41.89629,-87.65704,Entire home/apt,295,2,279,2.16,2,292,29,4.85,3,5,3
Rogers Park,42.0222,-87.67226,Private room,71,3,66,0.67,2,343,6,4.83,1,1,1
Rogers Park,42.01938,-87.67985,Entire home/apt,149,7,16,0.16,1,303,1,4.31,2,2,1
Near West Side,41.86967,-87.68284,Private room,103,32,119,1.0,1,305,9,4.66,1,1,1
Loop,41.86765,-87.62271,Private room,119,32,38,0.28,1,0,0,4.72,1,1,1
West Ridge,42.0168,-87.68771,Shared room,27,1,149,1.39,16,167,15,4.78,1,1,2
Logan Square,41.92518,-87.69549,Entire home/apt,91,32,645,4.9,1,258,1,4.81,1,2,1
Bridgeport,41.83615,-87.64638,Entire home/apt,75,32,72,0.85,1,0,12,4.85,1,3,1
Humboldt Park,41.898048,-87.702972,Entire home/apt,128,32,353,3.31,1,115,27,4.87,2,3,1
Lincoln Park,41.93089,-87.66946,Entire home/apt,692,2,111,0.94,1,303,12,4.84,4,11,3.5
Lincoln Square,41.96678,-87.6973,Entire home/apt,101,32,381,2.86,1,174,38,4.92,1,1,1
Lake View,41.9459,-87.65461,Private room,212,32,42,0.37,5,315,0,4.43,1,1,11
Loop,41.877,-87.63055,Private room,55,32,8,0.33,1,209,4,5.0,1,2,1
Logan Square,41.93142,-87.69989,Entire home/apt,193,3,288,2.15,1,327,16,4.88,2,3,1
West Lawn,41.78392,-87.72921,Private room,39,1,473,4.39,2,304,39,4.81,1,1,1
Uptown,41.97351,-87.66574,Entire home/apt,185,3,51,0.5,1,7,7,4.82,2,3,1
Uptown,41.96909,-87.67407,Entire home/apt,175,4,27,0.23,1,128,2,4.58,3,3,2
Uptown,41.97516,-87.67227,Entire home/apt,100,32,0,,1,0,0,0,2,2,1
Lincoln Square,41.96528,-87.6831,Private room,64,32,55,0.42,2,135,0,4.54,1,1,1
West Ridge,42.01653,-87.68788,Shared room,27,1,182,1.51,16,175,12,4.59,1,1,2
Near North Side,41.89637,-87.62726,Entire home/apt,125,32,37,0.34,3,240,0,4.58,1,1,1
Edgewater,41.99688,-87.66449,Private room,70,3,113,0.86,2,327,16,4.92,1,1,1
Lake View,41.95418,-87.65363,Private room,75,3,48,0.41,2,0,0,5.0,1,1,1
Lake View,41.94256,-87.67171,Entire home/apt,196,4,84,1.37,1,5,19,4.98,2,2,2.5
Lincoln Park,41.91175,-87.63834,Entire home/apt,184,4,95,0.8,7,78,24,4.79,2,2,1
Lincoln Park,41.91184,-87.63963,Entire home/apt,279,32,16,0.15,7,40,0,4.40,4,4,2
Dunning,41.94306,-87.79432,Private room,95,5,28,0.26,3,220,5,4.68,1,1,1
Near North Side,41.89874,-87.61862,Entire home/apt,110,32,1,0.04,1,0,0,0,1,1,1
Forest Glen,41.99178,-87.75747,Private room,85,2,94,0.75,2,334,14,4.95,1,1,1
Lincoln Park,41.91374,-87.64014,Entire home/apt,174,1,176,1.96,2,157,14,4.80,3,3,2.5
Beverly,41.71554,-87.67197,Private room,51,32,200,1.68,2,353,11,4.85,1,1,1.5
Forest Glen,41.99405,-87.75746,Private room,70,2,90,0.75,2,294,14,4.92,1,1,1
Lower West Side,41.85592,-87.66249,Private room,67,2,333,5.05,2,87,73,4.89,1,1,1
Near West Side,41.88503,-87.68664,Entire home/apt,104,4,118,1.1,1,314,26,4.77,2,2,1
Lake View,41.9331,-87.64919,Private room,159,14,29,0.3,8,1,1,4.45,1,1,1
Uptown,41.95669,-87.64847,Entire home/apt,125,2,309,2.89,1,217,30,4.90,2,2,1
Near North Side,41.90532,-87.64761,Entire home/apt,558,3,40,0.34,3,310,7,4.92,3,8,2
Near North Side,41.90437,-87.6335,Entire home/apt,96,32,158,1.3,2,300,3,4.87,2,2,1
West Town,41.9011,-87.69184,Entire home/apt,135,32,3,0.04,1,0,0,5.0,1,2,2.5
Lake View,41.93903,-87.65196,Entire home/apt,141,2,758,5.85,4,11,57,4.70,1,1,1
Lake View,41.9391,-87.64573,Private room,79,32,21,0.22,2,0,0,4.71,2,2,1
Rogers Park,42.01177,-87.67758,Entire home/apt,141,2,177,1.49,1,318,25,4.82,1,4,1
Lincoln Square,41.9765,-87.68144,Entire home/apt,150,7,206,1.71,1,190,10,4.87,2,2,1
Lake View,41.93455,-87.66141,Private room,75,32,337,3.02,1,231,36,4.92,1,2,1
Lake View,41.94047,-87.64578,Entire home/apt,132,32,32,0.3,2,0,0,4.86,2,2,2
Lower West Side,41.84828,-87.68021,Private room,82,2,121,1.18,3,316,17,4.80,1,1,1.5
Lower West Side,41.85751,-87.66817,Entire home/apt,129,32,58,0.68,1,34,9,4.74,1,3,1
West Town,41.90384,-87.66765,Entire home/apt,105,32,337,3.19,1,0,8,4.87,1,2,1
Grand Boulevard,41.80392,-87.6108,Entire home/apt,150,32,3,0.07,1,87,0,5.0,2,2,1
Lincoln Park,41.92817,-87.64282,Private room,134,1,64,0.54,1,64,23,4.63,1,1,1
Lower West Side,41.85707,-87.67082,Private room,25,32,155,1.53,3,15,0,4.58,1,1,1
Uptown,41.95775,-87.64671,Entire home/apt,220,5,24,0.22,2,0,0,4.88,2,2,2
Uptown,41.96264,-87.67296,Private room,106,32,31,0.29,2,157,12,4.60,1,3,1
Hyde Park,41.79857,-87.59814,Private room,82,3,214,2.13,3,185,12,4.90,1,1,1
West Town,41.89322,-87.68572,Entire home/apt,115,2,370,3.23,3,194,20,4.89,1,2,1
West Town,41.89678,-87.6971,Entire home/apt,86,32,116,1.27,1,0,0,4.82,2,2,1
Near West Side,41.86971,-87.65939,Entire home/apt,106,50,33,0.34,2,0,0,4.75,2,2,1
Near North Side,41.89269,-87.62227,Entire home/apt,153,120,7,0.06,74,321,0,4.67,1,1,0
Edgewater,41.99701,-87.66099,Entire home/apt,42,75,210,1.98,1,180,8,4.96,1,1,1
West Town,41.9086,-87.67684,Private room,159,32,52,0.52,2,194,1,4.60,1,1,1
Lake View,41.94987,-87.64611,Entire home/apt,151,32,451,4.27,1,266,41,4.72,1,1,1
Uptown,41.96705,-87.65772,Entire home/apt,201,2,131,1.34,1,139,51,4.98,2,2,2
West Town,41.89558,-87.66585,Entire home/apt,248,3,113,1.13,1,130,16,4.83,3,5,2.5
Lake View,41.93396,-87.65897,Entire home/apt,225,2,70,0.64,1,288,16,4.79,2,2,1
Lower West Side,41.84801,-87.68127,Private room,82,2,144,1.22,3,297,15,4.97,1,1,1.5
Logan Square,41.92723,-87.70807,Entire home/apt,207,2,217,2.18,1,285,36,4.98,1,1,2
Lake View,41.94747,-87.65417,Entire home/apt,608,1,17,0.72,6,172,10,4.82,1,2,1
Irving Park,41.95107,-87.71005,Private room,60,2,133,1.26,1,113,33,4.94,1,1,1
South Shore,41.76477,-87.57182,Private room,120,32,102,1.01,8,365,0,4.44,1,6,1
Loop,41.87346,-87.62843,Entire home/apt,149,3,40,1.23,1,100,12,4.83,1,2,1
Lake View,41.94842,-87.65307,Entire home/apt,822,1,13,0.11,6,179,3,4.67,3,5,2
Lake View,41.94774,-87.65421,Entire home/apt,1193,1,31,1.17,6,163,11,4.94,4,5,2
Lake View,41.9475,-87.6542,Entire home/apt,1193,1,23,0.87,6,165,7,4.83,4,5,2
Lincoln Park,41.92032,-87.66153,Entire home/apt,297,2,223,2.29,2,218,31,4.87,2,3,2
Woodlawn,41.77738,-87.60041,Private room,79,4,359,3.16,2,122,12,4.89,1,1,1
Lake View,41.94124,-87.64941,Private room,133,1,373,3.61,2,222,18,4.97,1,1,1
Lincoln Park,41.92061,-87.66324,Entire home/apt,303,2,222,2.21,2,211,33,4.87,2,4,1.5
Logan Square,41.9254,-87.69753,Entire home/apt,250,7,51,0.53,1,307,6,4.94,2,2,2
Edgewater,41.99632,-87.66385,Private room,65,3,61,0.58,2,321,0,4.95,2,1,1
Lincoln Park,41.93264,-87.64311,Entire home/apt,364,32,155,1.35,1,358,1,4.58,1,1,1
West Town,41.89738,-87.67208,Entire home/apt,268,3,119,1.19,1,248,31,4.97,2,3,2.5
Avondale,41.94663,-87.70783,Entire home/apt,146,2,299,2.95,8,285,28,4.86,2,2,1
Lake View,41.93564,-87.6424,Entire home/apt,75,32,1,0.1,1,50,1,0,1,1,1
Grand Boulevard,41.81873,-87.61387,Entire home/apt,115,5,17,0.17,2,328,5,4.82,1,1,1
